discussions_count,comments_count,movie_count,screenshot_count,awards_count,file_size_mb,change_notes,certified_compatible,creator_count,featured_collection_count,visitors_count,favorites_count,accepted,class_count,class_scout,class_soldier,class_pyro,class_demoman,class_heavy,class_engineer,class_medic,class_sniper,class_spy,item_slot_headgear,item_slot_weapon,item_slot_taunt,item_slot_misc,submitted_by_submitter
0,154,0,6,0,4.971,7,1,2,115,5492,428,1,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,380.0
0,40,0,4,0,2.958,4,1,2,46,2218,173,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,380.0
0,238,0,2,0,4.277,1,0,4,100,11905,859,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,153.0
0,237,0,8,0,4.567,3,0,2,91,10085,650,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,114.0
3,773,0,0,0,0.5720000000000001,1,0,1,17,33200,102,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,276,0,0,0,4.866,6,1,1,178,8477,987,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,14.0
2,1837,1,5,0,10.051,3,1,2,169,56465,3219,1,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,266.0
0,30,0,0,0,0.522,1,0,1,28,2206,41,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0
1,34,0,0,0,1.211,1,0,1,33,1910,60,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0
0,19,0,0,0,0.6930000000000001,1,0,1,30,1751,53,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0
0,380,0,1,0,6.645,6,1,1,24,14765,693,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,209.0
0,984,0,8,0,6.36,7,1,2,24,32266,1276,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,70.0
1,1451,0,5,0,6.673,8,1,1,103,55592,2700,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.0
2,440,0,1,0,0.28800000000000003,2,0,2,130,13773,919,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0
4,294,0,5,0,7.01,5,1,2,51,13123,668,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,39.0
1,63,0,0,0,0.59,1,0,2,30,7402,193,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,76.0
0,368,0,5,0,0.674,1,0,1,142,16909,850,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,80.0
0,502,0,3,0,2.099,4,0,2,58,27002,1273,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,95.0
0,729,0,4,0,3.384,5,0,1,32,28729,1234,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,111.0
0,246,0,3,0,5.29,5,1,1,202,11889,1140,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,209.0
1,207,0,3,0,5.311,5,1,1,124,9332,1048,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,209.0
0,70,0,7,1,10.293,3,1,2,24,4690,239,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,139.0
0,5,0,0,0,7.127,1,1,3,9,1414,59,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,78.0
0,134,0,2,1,4.205,3,1,1,60,5707,456,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,117.0
0,9,0,0,0,0.025,1,0,5,54,1466,67,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0
5,193,0,0,2,0.05,1,0,5,920,25059,986,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0
0,40,0,0,0,0.026000000000000002,1,0,4,107,4783,141,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17.0
0,22,0,0,0,0.047,1,0,5,42,1468,65,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,17.0
0,24,0,0,0,0.036000000000000004,1,0,5,32,2409,73,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0
0,57,0,0,0,0.027,1,0,4,103,5602,198,1,5.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0
0,677,0,5,0,5.13,3,1,2,126,22671,1493,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,172.0
0,4,0,5,0,5.816,2,1,3,81,2660,188,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0
9,33,0,5,2,6.417,3,1,3,280,15138,899,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0
2,17,0,5,0,5.584,3,1,3,92,6866,311,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0
1,20,0,0,0,0.182,1,0,3,59,3193,100,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
1,26,0,0,2,0.233,1,0,3,112,3507,188,1,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
0,16,0,0,1,0.147,1,0,3,59,2181,82,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1,25,0,0,0,0.131,1,0,3,128,3965,220,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
0,39,0,0,6,0.134,1,0,3,308,7411,410,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0
0,56,0,0,0,0.213,1,0,3,302,10215,284,1,7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0
0,21,0,0,1,0.257,1,0,3,245,6451,277,1,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
0,0,0,0,0,7.792,1,1,4,1,65,2,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,43.0
0,0,0,0,0,7.793,1,1,4,0,49,2,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,43.0
0,0,0,0,0,7.793,1,1,4,1,49,2,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,43.0
0,0,0,0,0,7.791,1,1,4,0,78,2,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,43.0
1,180,0,6,1,3.781,2,0,1,96,9121,546,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,52.0
1,237,0,1,0,3.071,2,1,1,25,7594,499,1,7.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,117.0
0,56,0,9,0,1.742,4,0,1,13,3399,186,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0
0,662,0,5,0,2.017,3,0,3,75,24226,1401,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0
0,10,0,0,0,4.877,2,1,5,22,4032,40,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
